timestamp,voltage_V,current_A,power_W
4.712,25.7200,1.05125,26.800
4.737,25.7312,1.03700,26.675
4.762,25.7288,1.03275,26.688
4.787,25.7500,1.04025,27.013
4.812,25.7475,1.04200,27.094
4.837,25.7200,1.09300,27.969
4.862,25.7138,1.09550,27.988
4.887,25.7200,1.09050,28.475
4.912,25.7100,1.15350,29.369
4.937,25.7037,1.13975,29.575
4.962,25.7075,1.15475,29.694
4.987,25.7013,1.14850,29.688
5.012,25.7163,1.13075,29.031
5.037,25.7163,1.12150,28.806
5.062,25.7288,1.12250,28.788
5.087,25.7100,1.11025,28.488
5.113,25.7288,1.10600,28.519
5.139,25.7200,1.11650,28.581
5.164,25.7100,1.10425,28.838
5.190,25.7225,1.09050,28.456
5.215,25.7163,1.08750,28.213
5.240,25.7163,1.11400,28.538
5.266,25.7163,1.11100,28.681
5.292,25.7163,1.11025,28.756
5.317,25.7200,1.10425,29.000
5.343,25.7100,1.10650,28.744
5.368,25.7075,1.10225,28.363
5.394,25.7163,1.10300,28.200
5.419,25.7138,1.12700,28.650
5.445,25.7138,1.10775,28.312
5.470,25.7200,1.13375,29.188
5.495,25.7138,1.10225,28.619
5.521,25.7163,1.09675,28.263
5.546,25.7225,1.09975,28.406
5.571,25.7163,1.11650,28.244
5.596,25.7163,1.10600,28.475
5.621,25.7250,1.11775,28.550
5.645,25.7163,1.11225,28.394
5.670,25.7288,1.11450,28.500
5.697,25.7138,1.09675,28.406
5.722,25.7100,1.10475,28.550
5.748,25.7075,1.10600,28.294
5.773,25.7200,1.10975,28.988
5.799,25.7138,1.12200,29.288
5.825,25.7138,1.11525,28.906
5.850,25.7100,1.12025,29.213
5.876,25.7075,1.13925,29.725
5.901,25.7138,1.14050,29.369
5.927,25.7225,1.13550,29.500
5.951,25.7100,1.14775,29.238
5.977,25.7100,1.13875,29.431
6.002,25.7288,1.14850,29.213
6.028,25.7013,1.13375,29.275
6.053,25.6975,1.14725,29.300
6.079,25.7138,1.14675,29.481
6.104,25.7037,1.14675,29.256
6.129,25.7075,1.15650,29.581
6.154,25.7200,1.15525,29.400
6.179,25.7075,1.15400,29.562
6.204,25.7138,1.16150,29.706
6.229,25.7037,1.18600,30.781
6.254,25.7013,1.13875,29.706
6.279,25.6975,1.14725,29.719
6.304,25.7138,1.14225,29.356
6.329,25.6913,1.15650,29.544
6.354,25.7312,1.14850,29.350
6.379,25.7037,1.16625,29.581
6.404,25.6950,1.16150,29.400
6.429,25.7075,1.18300,29.919
6.454,25.7075,1.14550,29.669
6.479,25.7200,1.15350,29.838
6.504,25.7075,1.14350,29.544
6.529,25.7312,1.15525,29.719
6.554,25.7163,1.15100,29.656
6.579,25.7037,1.16750,29.850
6.604,25.7075,1.15400,29.694
6.629,25.7013,1.16325,29.769
6.654,25.7100,1.15275,29.500
6.679,25.7075,1.17675,30.062
6.704,25.7100,1.16325,30.188
6.729,25.7075,1.16275,30.269
6.754,25.7037,1.16750,30.094
6.779,25.7013,1.21675,32.431
6.804,25.7013,1.22350,30.525
6.829,25.7100,1.13125,28.888
6.854,25.7013,1.12075,28.819
6.879,25.7225,1.14050,29.238
6.904,25.7100,1.14350,29.256
6.929,25.7037,1.15775,29.756
6.954,25.7013,1.15775,29.381
6.979,25.7037,1.16575,29.644
7.004,25.7138,1.16325,29.438
7.029,25.7013,1.12250,29.438
7.054,25.7100,1.11150,28.613
7.079,25.7075,1.13375,29.325
7.104,25.6975,1.11100,28.856
7.129,25.7100,1.11900,28.819
7.154,25.7138,1.12325,29.163
7.179,25.7100,1.12075,28.819
7.204,25.7037,1.13125,28.856
7.229,25.7075,1.13500,29.256
7.254,25.7200,1.12375,28.619
7.279,25.7075,1.14425,29.194
7.304,25.7037,1.14900,28.838
7.329,25.7075,1.14175,29.256
7.354,25.7075,1.13125,29.238
7.379,25.7037,1.13675,29.438
7.404,25.7037,1.13000,29.206
7.429,25.7138,1.16275,29.819
7.454,25.7100,1.14225,29.275
7.479,25.7138,1.17550,30.956
7.504,25.6950,1.24025,31.856
7.529,25.6913,1.24625,31.713
7.554,25.6950,1.22000,31.706
7.579,25.7013,1.25125,31.613
7.604,25.6913,1.23475,31.594
7.629,25.6113,2.48500,63.113
7.654,25.5838,2.46950,63.131
7.679,25.6025,2.46575,63.231
7.704,25.5688,2.47575,63.200
7.729,25.5900,2.45775,63.119
7.754,25.5813,2.43025,62.650
7.779,25.5813,2.44375,62.781
7.804,25.5813,2.45175,62.794
7.829,25.5900,2.44875,62.700
7.854,25.5813,2.42650,62.119
7.879,25.5712,2.41975,61.544
7.904,25.5838,2.43575,62.456
7.929,25.6425,1.83550,46.688
7.954,25.6638,1.42250,36.169
7.979,25.6738,1.40025,35.562
8.004,25.6638,1.40650,35.956
8.029,25.6738,1.40325,37.113
8.054,25.6887,1.42675,36.556
8.079,25.6738,1.43600,35.738
8.104,25.6825,1.41500,35.788
8.129,25.6913,1.41375,36.462
8.154,25.6675,1.42600,36.812
8.179,25.6738,1.39100,35.812
8.204,25.6913,1.39975,36.269
8.229,25.6800,1.40100,36.281
8.254,25.6762,1.40275,35.881
8.278,25.6762,1.50550,39.312
8.304,25.6700,1.60950,41.338
8.329,25.6700,1.50000,39.056
8.354,25.6550,1.54175,39.344
8.380,25.6700,1.51350,38.500
8.405,25.6675,1.50975,38.675
8.430,25.6762,1.51900,38.719
8.457,25.6638,1.50175,39.181
8.482,25.6675,1.48450,37.244
8.509,25.6612,1.49500,38.769
8.533,25.6700,1.49375,38.400
8.560,25.6638,1.47475,37.962
8.585,25.6700,1.45325,36.044
8.611,25.6738,1.47725,37.519
8.637,25.6675,1.45125,38.062
8.662,25.6762,1.44575,37.513
8.688,25.6638,1.43725,37.706
8.714,25.6675,1.44325,37.438
8.739,25.6700,1.45925,37.406
