timestamp,voltage_V,current_A,power_W,soc_pct
0.3401,26.3712,0.93800,25.744,66.9
0.3419,26.4262,0.94525,25.644,68.9
0.3437,26.3837,0.94725,25.263,67.3
0.3454,26.4075,0.93975,24.963,68.2
0.3471,26.3738,0.94850,25.275,67.0
0.3488,26.3925,0.94900,25.294,67.7
0.3505,26.3613,0.95525,25.250,66.5
0.3523,26.3900,0.96700,25.106,67.6
0.3540,26.3588,0.95950,24.906,66.4
0.3557,26.3837,0.97050,25.181,67.3
0.3574,26.3925,0.95650,24.825,67.7
0.3603,26.3837,0.94050,24.850,67.3
0.3633,26.3925,0.95525,25.150,67.7
0.3651,26.3775,0.96325,25.131,67.1
0.3667,26.4050,0.94775,24.763,68.1
0.3684,26.3900,0.95575,25.812,67.6
0.3715,26.3650,0.95100,25.356,66.7
0.3733,26.3800,0.94175,25.388,67.2
0.3758,26.3863,0.97300,25.219,67.4
0.3798,26.3925,0.95100,25.731,67.7
0.3847,26.3800,0.94100,25.538,67.2
0.3864,26.3837,0.94175,25.325,67.3
0.3886,26.4075,0.97050,25.356,68.2
0.3906,26.3950,0.96025,24.944,67.8
0.3935,26.3950,0.95100,24.844,67.8
0.3950,26.3925,0.94425,24.894,67.7
0.3967,26.4325,0.95325,25.725,69.1
0.3983,26.3900,0.94300,24.994,67.6
0.3998,26.3863,0.94975,25.663,67.4
0.4029,26.3863,0.95025,25.694,67.4
0.4044,26.3925,0.95275,25.250,67.7
0.4059,26.4112,0.96375,25.938,68.4
0.4075,26.3837,0.95900,25.700,67.3
0.4092,26.3863,0.93925,25.681,67.4
0.4108,26.3925,0.95275,25.538,67.7
0.4137,26.3900,0.94650,25.038,67.6
0.4153,26.3900,0.94975,25.131,67.6
0.4180,26.3675,0.97375,25.219,66.7
0.4195,26.3925,0.95950,25.100,67.7
0.4223,26.3837,0.96375,25.500,67.3
0.4239,26.3863,0.94850,25.500,67.4
0.4266,26.3900,0.94850,24.781,67.6
0.4281,26.4013,0.94100,24.938,68.0
0.4296,26.3863,0.94900,24.988,67.4
0.4311,26.4112,0.94650,24.794,68.4
0.4326,26.3675,0.94650,25.375,66.7
0.4342,26.3837,0.93925,24.850,67.3
0.4356,26.3837,0.93625,24.944,67.3
