timestamp,voltage_V,current_A,power_W,soc_pct
0.6591,26.3738,0.94650,25.425,67.0
0.6606,26.3900,0.94350,25.219,67.6
0.6635,26.3800,0.94050,25.306,67.2
0.6650,26.3588,0.97000,26.381,66.4
0.6666,26.3863,0.96625,25.281,67.4
0.6681,26.3775,0.96500,25.694,67.1
0.6697,26.3900,0.97050,25.562,67.6
0.6725,26.3987,0.97300,25.644,67.9
0.6741,26.3800,0.99150,25.775,67.2
0.6758,26.3800,0.98725,25.744,67.2
0.6777,26.3950,0.98050,25.506,67.8
0.6806,26.3863,0.99025,25.700,67.4
0.6823,26.3800,0.98850,25.838,67.2
0.6838,26.3837,0.97175,25.219,67.3
0.6853,26.3900,0.97975,25.562,67.6
0.6871,26.3775,0.97500,25.550,67.1
0.6887,26.3925,0.96575,25.469,67.7
0.6902,26.3950,0.96450,25.356,67.8
0.6921,26.3837,0.95900,25.231,67.3
0.6941,26.3925,0.96450,25.663,67.7
0.6971,26.3950,0.95400,25.281,67.8
0.6987,26.3863,0.99100,25.169,67.4
0.7005,26.3900,0.96500,25.219,67.6
0.7021,26.4175,0.96875,25.444,68.6
0.7037,26.4075,0.96250,25.231,68.2
0.7053,26.3738,0.96925,25.200,67.0
0.7086,26.3738,0.97925,26.275,67.0
0.7102,26.3925,0.97300,25.475,67.7
0.7118,26.3925,0.96325,25.294,67.7
0.7153,26.4050,0.97550,25.500,68.1
0.7172,26.4013,0.96325,25.169,68.0
0.7228,26.4112,0.99400,25.388,68.4
0.7244,26.3775,0.98050,25.506,67.1
0.7273,26.3925,0.96375,24.994,67.7
0.7290,26.3775,0.95950,24.944,67.1
0.7306,26.3800,0.95900,25.163,67.2
0.7321,26.3613,0.95325,24.994,66.5
0.7338,26.3800,0.94100,24.850,67.2
0.7355,26.3950,0.95100,25.150,67.8
0.7370,26.3712,0.94650,24.994,66.9
0.7385,26.4075,0.95150,24.894,68.2
0.7400,26.4050,0.94850,24.850,68.1
0.7416,26.3775,0.94475,24.975,67.1
0.7431,26.3613,0.95775,25.169,66.5
0.7449,26.3800,0.95700,24.906,67.2
0.7482,26.3950,0.95025,24.750,67.8
0.7502,26.3863,0.94725,24.763,67.4
0.7530,26.3738,0.95100,24.925,67.0
0.7545,26.3800,0.95025,24.769,67.2
0.7561,26.3950,0.95025,25.019,67.8
0.7577,26.4075,0.94550,24.844,68.2
0.7607,26.3837,0.94175,25.263,67.3
0.7648,26.4112,0.95450,24.881,68.4
0.7676,26.3987,0.96025,24.794,67.9
0.7692,26.3987,0.94775,25.025,67.9
0.7708,26.3738,0.94900,24.844,67.0
0.7742,26.3738,0.96075,25.019,67.0
0.7758,26.4050,0.97375,24.975,68.1
0.7773,26.4050,0.94975,25.306,68.1
0.7790,26.3775,0.95650,25.163,67.1
0.7805,26.3900,0.95025,25.250,67.6
0.7822,26.4013,0.97050,24.956,68.0
0.7838,26.4013,0.94225,25.131,68.0
0.7854,26.3837,0.94900,25.106,67.3
0.7870,26.3925,0.94775,25.088,67.7
0.7898,26.3712,0.97725,25.194,66.9
0.7913,26.3950,0.94600,25.231,67.8
0.7929,26.3800,0.94650,25.344,67.2
0.7945,26.3900,0.94975,24.975,67.6
0.7973,26.3675,0.95700,25.119,66.7
0.7988,26.4013,0.94050,25.244,68.0
0.8005,26.3950,0.96025,25.213,67.8
0.8020,26.3712,0.96625,25.306,66.9
0.8039,26.3900,0.96200,24.944,67.6
0.8057,26.3925,0.95275,25.131,67.7
0.8086,26.3775,0.96925,25.119,67.1
0.8102,26.4138,0.94050,25.219,68.4
0.8122,26.3650,0.95950,24.913,66.7
0.8138,26.3900,0.97000,25.150,67.6
0.8154,26.3837,0.96375,24.913,67.3
0.8170,26.3900,0.96250,25.038,67.6
0.8185,26.3712,0.97000,25.194,66.9
0.8213,26.3837,0.98050,25.363,67.3
0.8228,26.3900,0.94725,25.200,67.6
0.8256,26.3900,0.94725,25.488,67.6
0.8272,26.3675,0.95225,25.444,66.7
0.8290,26.3775,0.94975,25.081,67.1
0.8305,26.4075,0.94725,25.469,68.2
0.8321,26.3863,0.95700,25.038,67.4
0.8350,26.3775,0.95100,25.219,67.1
0.8365,26.3775,0.93550,25.200,67.1
0.8380,26.3987,0.94175,25.219,67.9
0.8395,26.3712,0.94175,25.181,66.9
0.8410,26.3863,0.94475,24.944,67.4
0.8425,26.4050,0.94600,24.850,68.1
0.8439,26.3925,0.94975,24.956,67.7
0.8454,26.3987,0.96750,25.219,67.9
0.8469,26.3863,0.93800,24.794,67.4
0.8485,26.3900,0.94900,24.938,67.6
0.8501,26.3775,0.94100,24.731,67.1
0.8517,26.3925,0.94900,25.588,67.7
0.8532,26.3863,0.94550,25.356,67.4
0.8547,26.3738,0.93675,25.038,67.0
0.8562,26.3863,0.95775,25.119,67.4
0.8582,26.3925,0.94850,25.506,67.7
0.8602,26.3675,0.94975,24.894,66.7
0.8634,26.4112,0.95225,24.850,68.4
0.8650,26.3987,0.95525,25.056,67.9
0.8668,26.3900,0.94300,24.800,67.6
0.8683,26.3837,0.94350,25.050,67.3
0.8698,26.3925,0.95275,25.919,67.7
0.8713,26.4050,0.93800,24.863,68.1
0.8728,26.3613,0.94600,24.844,66.5
0.8742,26.3863,0.95100,25.050,67.4
0.8759,26.3613,0.94975,25.163,66.5
0.8778,26.3837,0.94775,25.163,67.3
0.8792,26.3650,0.95150,24.881,66.7
0.8807,26.3900,0.96250,25.138,67.6
0.8821,26.3800,0.95700,25.006,67.2
0.8837,26.3837,0.97300,24.963,67.3
0.8852,26.3675,0.94775,25.325,66.7
0.8867,26.3613,0.94475,25.038,66.5
0.8882,26.3837,0.93975,25.181,67.3
0.8897,26.3863,0.94100,24.944,67.4
0.8912,26.3675,0.94175,25.231,66.7
0.8927,26.3925,0.93975,25.275,67.7
0.8945,26.3925,0.94900,25.019,67.7
0.8959,26.4112,0.96825,24.831,68.4
0.8975,26.3863,0.95450,25.019,67.4
0.9002,26.3775,0.96750,24.844,67.1
0.9017,26.3925,0.94300,24.913,67.7
0.9032,26.3675,0.96875,24.944,66.7
0.9047,26.3837,0.95100,25.131,67.3
0.9062,26.3925,0.97300,25.106,67.7
0.9103,26.3738,0.98050,25.919,67.0
0.9120,26.4175,0.94650,25.562,68.6
0.9137,26.3738,0.94100,25.644,67.0
0.9165,26.3800,0.95225,24.750,67.2
0.9181,26.3675,0.94300,25.131,66.7
0.9197,26.3837,0.96325,25.219,67.3
0.9212,26.3900,0.94475,24.906,67.6
0.9227,26.3712,0.95650,25.081,66.9
0.9242,26.3738,0.95275,25.069,67.0
0.9258,26.3987,0.96125,25.488,67.9
0.9286,26.3900,0.97000,25.444,67.6
0.9302,26.3738,0.96875,25.600,67.0
0.9318,26.3712,0.96750,25.231,66.9
0.9346,26.3775,0.95225,25.081,67.1
0.9361,26.3987,0.94175,24.825,67.9
0.9377,26.3900,0.95100,24.800,67.6
0.9393,26.3775,0.94650,25.025,67.1
0.9410,26.3925,0.94775,25.025,67.7
0.9438,26.3900,0.95650,24.781,67.6
0.9454,26.4050,0.95900,24.769,68.1
0.9470,26.3925,0.97550,25.200,67.7
0.9485,26.4013,0.93975,25.019,68.0
0.9501,26.4075,0.93550,24.994,68.2
0.9518,26.3837,0.93975,25.131,67.3
0.9534,26.3925,0.93550,24.850,67.7
0.9549,26.3463,0.96125,25.356,66.0
0.9565,26.3775,0.94775,25.219,67.1
0.9580,26.3925,0.93925,24.831,67.7
0.9595,26.3863,0.93375,24.956,67.4
0.9610,26.3900,0.93750,25.006,67.6
0.9625,26.3738,0.94050,25.100,67.0
0.9641,26.3987,0.96700,25.138,67.9
0.9656,26.4075,0.96325,24.963,68.2
0.9675,26.3900,0.96025,25.088,67.6
0.9690,26.3925,0.96375,25.169,67.7
0.9718,26.3863,0.95775,24.938,67.4
0.9733,26.3863,0.97500,24.906,67.4
0.9749,26.3900,0.96575,25.169,67.6
0.9765,26.3738,0.97975,25.406,67.0
0.9782,26.3775,0.98050,25.088,67.1
0.9797,26.3650,0.94725,25.438,66.7
0.9813,26.3987,0.95325,25.700,67.9
0.9829,26.3925,0.95225,25.356,67.7
0.9859,26.3837,0.94600,25.488,67.3
0.9875,26.3738,0.94425,24.750,67.0
0.9891,26.3712,0.94225,25.744,66.9
0.9908,26.3800,0.95025,25.006,67.2
0.9925,26.3775,0.93925,25.163,67.1
0.9940,26.4050,0.94850,24.894,68.1
