timestamp,voltage_V,current_A,power_W,soc_pct
0.3335,26.3675,0.94300,25.331,66.7
0.3351,26.3675,0.95100,25.244,66.7
0.3368,26.3800,0.94300,25.456,67.2
0.3384,26.3925,0.96500,25.763,67.7
0.3400,26.3900,0.95275,25.588,67.6
0.3415,26.3837,0.96250,25.825,67.3
0.3432,26.3738,0.95400,25.388,67.0
0.3448,26.3925,0.94725,25.713,67.7
0.3464,26.3863,0.94725,25.281,67.4
0.3480,26.3738,0.95100,25.500,67.0
0.3496,26.3863,0.95225,25.531,67.4
0.3525,26.3863,0.94975,25.988,67.4
0.3541,26.4050,0.95650,25.469,68.1
0.3570,26.3837,0.93800,25.219,67.3
0.3586,26.3900,0.96075,24.994,67.6
0.3604,26.3987,0.95025,25.088,67.9
0.3619,26.3863,0.96500,25.181,67.4
0.3635,26.3925,0.96500,25.025,67.7
0.3657,26.3738,0.94550,24.831,67.0
0.3678,26.3925,0.94850,25.019,67.7
0.3728,26.3837,0.95100,25.488,67.3
0.3765,26.3950,0.95650,25.456,67.8
0.3783,26.4138,0.97050,25.138,68.4
0.3810,26.3800,0.95150,26.013,67.2
0.3855,26.3837,0.95400,25.531,67.3
0.3872,26.4050,0.94725,25.406,68.1
0.3899,26.3837,0.96125,25.619,67.3
0.3916,26.3837,0.95700,25.806,67.3
0.3936,26.3950,0.95100,25.019,67.8
0.3952,26.3800,0.96025,25.163,67.2
0.3983,26.3900,0.97000,25.163,67.6
0.3999,26.3738,0.97000,25.106,67.0
0.4016,26.3738,0.95650,24.925,67.0
0.4032,26.3837,0.96375,25.281,67.3
0.4049,26.3863,0.96200,25.138,67.4
0.4064,26.4050,0.95950,25.006,68.1
0.4079,26.3987,0.97725,25.219,67.9
0.4108,26.3738,0.93675,26.050,67.0
0.4122,26.3588,0.95275,26.013,66.4
0.4137,26.3650,0.95025,24.906,66.7
0.4152,26.3837,0.94475,24.944,67.3
0.4169,26.4050,0.95225,25.419,68.1
0.4184,26.4112,0.94975,25.756,68.4
0.4199,26.3900,0.94650,25.388,67.6
