timestamp,voltage_V,current_A,power_W
0.2257,5.4125,-0.00150,0.013
0.2274,5.4188,-0.00075,0.013
0.2289,5.4162,-0.00075,0.013
0.2304,5.4212,-0.00275,0.013
0.2320,5.4162,-0.00025,0.013
0.2335,5.4212,-0.00150,0.000
0.2349,5.4188,0.00050,0.000
0.2365,5.4162,-0.00200,0.000
0.2381,5.4250,-0.00200,0.013
0.2396,5.4188,-0.00150,0.013
0.2411,5.4188,-0.00075,0.000
0.2428,5.4162,-0.00200,0.013
0.2458,5.4162,-0.00200,0.013
0.2488,5.4188,-0.00025,0.013
0.2518,5.4188,-0.00075,0.013
0.2549,5.4162,-0.00275,0.013
0.2578,5.4212,-0.00150,0.013
0.2618,5.4125,-0.00075,0.013
0.2668,5.4188,-0.00150,0.013
0.2715,5.4162,-0.00150,0.013
0.2750,5.4188,-0.00150,0.013
0.2773,5.4162,-0.00150,0.000
0.2811,5.4100,-0.00075,0.000
0.2841,5.4250,-0.00075,0.013
0.2856,5.4212,-0.00075,0.000
0.2871,5.4188,-0.00075,0.000
0.2886,5.4188,-0.00200,0.013
0.2903,5.4212,-0.00075,0.013
0.2921,5.4188,-0.00075,0.013
0.2962,5.4162,-0.00150,0.013
0.2979,5.4162,-0.00150,0.013
0.2996,5.4125,-0.00150,0.013
0.3011,5.4162,-0.00200,0.000
0.3026,5.4125,-0.00150,0.000
0.3048,5.4125,-0.00150,0.000
0.3079,5.4162,-0.00150,0.000
0.3096,5.4100,-0.00200,0.013
0.3110,5.4125,-0.00025,0.000
0.3139,5.4188,-0.00075,0.013
0.3165,5.4162,-0.00200,0.013
0.3181,5.4100,-0.00150,0.013
0.3196,5.4250,-0.00025,0.000
0.3211,5.4162,-0.00025,0.013
0.3231,5.4188,-0.00075,0.013
0.3250,5.4212,-0.00075,0.013
0.3266,5.4212,-0.00025,0.013
0.3281,5.4188,-0.00150,0.013
0.3313,5.4125,-0.00200,0.013
0.3329,5.4125,-0.00150,0.013
0.3345,5.4162,-0.00025,0.013
0.3359,5.4125,-0.00075,0.013
0.3374,5.4125,-0.00200,0.013
0.3399,5.4162,-0.00075,0.000
0.3426,5.4188,-0.00075,0.013
0.3441,5.4100,-0.00075,0.013
0.3458,5.4125,-0.00025,0.000
0.3473,5.4212,-0.00150,0.000
0.3488,5.4188,-0.00200,0.013
0.3506,5.4212,-0.00025,0.013
0.3537,5.4188,-0.00200,0.000
0.3566,5.4162,-0.00075,0.000
0.3589,5.4188,-0.00150,0.000
0.3615,5.4100,-0.00200,0.013
0.3630,5.4250,-0.00200,0.013
0.3646,5.4125,-0.00025,0.000
0.3674,5.4162,-0.00150,0.013
0.3689,5.4162,-0.00150,0.000
0.3703,5.4162,-0.00150,0.013
0.3718,5.4100,-0.00200,0.013
0.3733,5.4162,-0.00150,0.000
0.3748,5.4125,-0.00075,0.000
0.3763,5.4162,-0.00075,0.013
0.3777,5.4125,-0.00200,0.000
0.3791,5.4162,0.00050,0.013
0.3805,5.4162,-0.00150,0.013
0.3823,5.4212,-0.00150,0.000
0.3850,5.4125,-0.00075,0.013
0.3865,5.4188,-0.00200,0.013
0.3878,5.4125,-0.00150,0.013
0.3893,5.4212,-0.00150,0.013
0.3908,5.4100,-0.00150,0.013
0.3937,5.4162,-0.00075,0.013
0.3956,5.4188,-0.00075,0.000
0.3976,5.4188,-0.00150,0.000
0.3991,5.4188,-0.00275,0.013
0.4006,5.4212,-0.00150,0.000
0.4024,5.4188,-0.00150,0.000
0.4039,5.4162,-0.00025,0.013
